# l TT EE TE
2.570000000000000000e+02 5.326390730726030597e+03 3.016316309421427810e+00 7.455786695848505019e+01
2.580000000000000000e+02 5.304830438532675544e+03 3.114404448847381435e+00 7.608775502741015373e+01
2.590000000000000000e+02 5.282783974806154220e+03 3.214754877229225372e+00 7.760261367773640018e+01
2.600000000000000000e+02 5.260273720694198346e+03 3.317359534990583114e+00 7.910022130824769704e+01
2.610000000000000000e+02 5.237299768501909057e+03 3.422217794897815857e+00 8.058132781642801490e+01
2.620000000000000000e+02 5.213884491677461483e+03 3.529329034212468130e+00 8.204445475050647474e+01
2.630000000000000000e+02 5.190035402960541433e+03 3.638692635199987091e+00 8.348960948171669827e+01
2.640000000000000000e+02 5.165760010998638791e+03 3.750300557290857206e+00 8.491531386124840708e+01
2.650000000000000000e+02 5.141058391929145728e+03 3.864137337597572497e+00 8.632231839234438553e+01
2.660000000000000000e+02 5.115938046029095858e+03 3.980194948134813782e+00 8.770840238202058003e+01
2.670000000000000000e+02 5.090413897681491108e+03 4.098457939641931169e+00 8.907283094803628387e+01
2.680000000000000000e+02 5.064486010308023651e+03 4.218918298809271938e+00 9.041635501564181254e+01
2.690000000000000000e+02 5.038154443070110574e+03 4.341568020456195498e+00 9.173675430410439446e+01
2.700000000000000000e+02 5.011426679236526979e+03 4.466384251361005475e+00 9.303478000351417165e+01
2.710000000000000000e+02 4.984325054567523694e+03 4.593359004193514394e+00 9.430821209112023951e+01
2.720000000000000000e+02 4.956842187263203414e+03 4.722476872997277475e+00 9.555780200799750901e+01
2.730000000000000000e+02 4.929007833181031856e+03 4.853700177022841622e+00 9.678207281026872977e+01
2.740000000000000000e+02 4.900814602413246575e+03 4.987028388063868611e+00 9.798177617558189922e+01
2.750000000000000000e+02 4.872277386182562623e+03 5.122431275838382980e+00 9.915469255419138506e+01
2.760000000000000000e+02 4.843418500248203600e+03 5.259893478623784979e+00 1.003015738453420340e+02
2.770000000000000000e+02 4.814237971623205340e+03 5.399392218738423566e+00 1.014209435482047326e+02
2.780000000000000000e+02 4.784743252104313797e+03 5.540904731422635621e+00 1.025120680980114827e+02
2.790000000000000000e+02 4.754949218410272806e+03 5.684393408667342662e+00 1.035756996970379049e+02
2.800000000000000000e+02 4.724870743977910024e+03 5.829828084791513376e+00 1.046103621353560840e+02
2.810000000000000000e+02 4.694507842414687730e+03 5.977193465316487320e+00 1.056160649617552423e+02
2.820000000000000000e+02 4.663875381058017410e+03 6.126444557385144485e+00 1.065920749743775531e+02
2.830000000000000000e+02 4.632988224436938253e+03 6.277558668731324509e+00 1.075376590513665889e+02
2.840000000000000000e+02 4.601846377736139402e+03 6.430505694791598614e+00 1.084520841464005372e+02
2.850000000000000000e+02 4.570464700362389522e+03 6.585248119214456075e+00 1.093353601191575422e+02
2.860000000000000000e+02 4.538850621058619254e+03 6.741755871064700756e+00 1.101874968956354195e+02
